赛程编号,赛事编号,日期,主队编号,客队编号,全场比分,半场比分,赛事,赛事英,主队,主队英,客队,客队英,主红,客红,,让球盘路,让球盘口,大小球盘路,赛果盘路
1523607.0,1366.0,2018/03/24 14:00,8030.0,6662.0,4-3,1-1,国际友谊,INT FRL,152_塔希提群岛,Tahiti,154_新喀里多尼亚,New Caledonia,0.0,0.0,,,,,胜
1328461.0,649.0,2017/03/29 13:00,8030.0,8031.0,1-2,0-0,大洋预选,WCPO,152_塔希提群岛,Tahiti,158_巴布亚新几内亚,Papua New Guinea,0.0,0.0,,,,,负
1328460.0,649.0,2017/03/23 14:00,8031.0,8030.0,1-3,1-0,大洋预选,WCPO,158_巴布亚新几内亚,Papua New Guinea,152_塔希提群岛,Tahiti,1.0,0.0,,,,,胜
1328459.0,649.0,2016/11/13 12:00,2865.0,8030.0,1-0,0-0,大洋预选,WCPO,151_所罗门群岛,Solomon Islands,152_塔希提群岛,Tahiti,0.0,0.0,,,,,负
1328452.0,649.0,2016/11/08 13:00,8030.0,2865.0,1-0,0-0,大洋预选,WCPO,152_塔希提群岛,Tahiti,151_所罗门群岛,Solomon Islands,0.0,0.0,,,,,胜
1243610.0,649.0,2016/06/05 17:00,8030.0,6662.0,1-1,0-0,大洋预选,WCPO,152_塔希提群岛,Tahiti,154_新喀里多尼亚,New Caledonia,0.0,0.0,,,,,平
1243607.0,649.0,2016/06/01 14:00,8031.0,8030.0,2-2,1-0,大洋预选,WCPO,158_巴布亚新几内亚,Papua New Guinea,152_塔希提群岛,Tahiti,0.0,1.0,,,,,平
1243606.0,649.0,2016/05/29 17:00,8030.0,8032.0,4-0,4-0,大洋预选,WCPO,152_塔希提群岛,Tahiti,194_萨摩亚,Samoa,0.0,0.0,,,,,胜
845795.0,88.0,2013/06/24 03:00,767.0,8030.0,8-0,4-0,洲际杯,FICC,22_乌拉圭,Uruguay,152_塔希提群岛,Tahiti,1.0,1.0,,7.25球|7.25,输,走,负
845797.0,88.0,2013/06/21 03:00,772.0,8030.0,10-0,4-0,洲际杯,FICC,6_西班牙,Spain,152_塔希提群岛,Tahiti,0.0,0.0,,7.25球|7.25,输,大,负
845798.0,88.0,2013/06/18 03:00,8030.0,789.0,1-6,0-3,洲际杯,FICC,152_塔希提群岛,Tahiti,51_尼日利亚,Nigeria,0.0,0.0,,受让两球半/三球|-2.5/-3,输,大,负
778457.0,649.0,2013/03/26 15:00,6662.0,8030.0,1-0,0-0,大洋预选,WCPO,154_新喀里多尼亚,New Caledonia,152_塔希提群岛,Tahiti,0.0,0.0,,,,,负
778454.0,649.0,2013/03/23 14:00,8030.0,2865.0,2-0,1-0,大洋预选,WCPO,152_塔希提群岛,Tahiti,151_所罗门群岛,Solomon Islands,0.0,0.0,,,,,胜
778453.0,649.0,2012/10/16 14:40,2363.0,8030.0,3-0,1-0,大洋预选,WCPO,120_新西兰,New Zealand,152_塔希提群岛,Tahiti,0.0,0.0,,,,,负
778450.0,649.0,2012/10/13 14:00,8030.0,2363.0,0-2,0-1,大洋预选,WCPO,152_塔希提群岛,Tahiti,120_新西兰,New Zealand,0.0,0.0,,,,,负
789045.0,41.0,2012/09/26 17:00,6662.0,8030.0,0-1,0-0,球会友谊,INT CF,154_新喀里多尼亚,New Caledonia,152_塔希提群岛,Tahiti,0.0,0.0,,,,,胜
778449.0,649.0,2012/09/12 14:00,8030.0,6662.0,0-4,0-0,大洋预选,WCPO,152_塔希提群岛,Tahiti,154_新喀里多尼亚,New Caledonia,0.0,0.0,,,,,负
778446.0,649.0,2012/09/07 12:00,2865.0,8030.0,2-0,1-0,大洋预选,WCPO,151_所罗门群岛,Solomon Islands,152_塔希提群岛,Tahiti,0.0,0.0,,,,,负
709562.0,649.0,2012/06/10 12:00,6662.0,8030.0,0-1,0-1,大洋预选,WCPO,154_新喀里多尼亚,New Caledonia,152_塔希提群岛,Tahiti,0.0,0.0,,,,,胜
709136.0,649.0,2012/06/08 08:00,8030.0,2865.0,1-0,1-0,大洋预选,WCPO,152_塔希提群岛,Tahiti,151_所罗门群岛,Solomon Islands,0.0,0.0,,,,,胜
707732.0,649.0,2012/06/05 12:00,8030.0,6661.0,4-1,2-0,大洋预选,WCPO,152_塔希提群岛,Tahiti,156_瓦努阿图,Vanuatu,0.0,0.0,,,,,胜
707730.0,649.0,2012/06/03 12:00,8030.0,6662.0,4-3,3-0,大洋预选,WCPO,152_塔希提群岛,Tahiti,154_新喀里多尼亚,New Caledonia,0.0,2.0,,,,,胜
707727.0,649.0,2012/06/01 09:00,8032.0,8030.0,1-10,0-4,大洋预选,WCPO,194_萨摩亚,Samoa,152_塔希提群岛,Tahiti,0.0,0.0,,,,,胜
541877.0,41.0,2011/04/07 14:00,8030.0,6662.0,1-0,0-0,球会友谊,INT CF,152_塔希提群岛,Tahiti,154_新喀里多尼亚,New Caledonia,0.0,0.0,,,,,胜
541064.0,41.0,2011/04/04 12:00,8030.0,6662.0,1-3,0-1,球会友谊,INT CF,152_塔希提群岛,Tahiti,154_新喀里多尼亚,New Caledonia,0.0,0.0,,,,,负
203933.0,649.0,2007/09/04 10:00,8034.0,8030.0,0-1,0-0,大洋预选,WCPO,194_库克,Cook Islands,152_塔希提群岛,Tahiti,0.0,0.0,,,,,胜
203931.0,649.0,2007/09/02 13:00,8030.0,6124.0,0-4,0-2,大洋预选,WCPO,152_塔希提群岛,Tahiti,168_斐济,Fiji,0.0,0.0,,,,,负
203928.0,649.0,2007/08/30 10:00,8059.0,8030.0,1-1,0-1,大洋预选,WCPO,220_弱鸡,Tuvalu,152_塔希提群岛,Tahiti,0.0,0.0,,,,,平
203924.0,649.0,2007/08/26 10:00,8030.0,6662.0,0-1,0-1,大洋预选,WCPO,152_塔希提群岛,Tahiti,154_新喀里多尼亚,New Caledonia,0.0,0.0,,,,,负
